case_id,config_id,split_id,seed_id,depth_group,operator,method,true_zbottom_mm,true_ztop_mm,true_thickness_mm,d_out_mm,source_label
eval_000,shallow_0231,train,20260531,shallow,MMP,direct_scalar_regression,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260532,shallow,MMP,direct_scalar_regression,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260533,shallow,MMP,direct_scalar_regression,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260531,shallow,MMP,unet_3d,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260532,shallow,MMP,unet_3d,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260533,shallow,MMP,unet_3d,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260531,shallow,MMP,kernel_gp,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260532,shallow,MMP,kernel_gp,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260533,shallow,MMP,kernel_gp,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260531,shallow,MMP,vanilla_3d_diffusion,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260532,shallow,MMP,vanilla_3d_diffusion,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260533,shallow,MMP,vanilla_3d_diffusion,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260531,shallow,MMP,eapp_only_diffusion,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260532,shallow,MMP,eapp_only_diffusion,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260533,shallow,MMP,eapp_only_diffusion,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260531,shallow,MMP,dps_inverse_diffusion,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260532,shallow,MMP,dps_inverse_diffusion,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260533,shallow,MMP,dps_inverse_diffusion,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260531,shallow,MMP,op_conditioned_diffusion_ours,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260532,shallow,MMP,op_conditioned_diffusion_ours,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260533,shallow,MMP,op_conditioned_diffusion_ours,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260531,shallow,PIEZO,direct_scalar_regression,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260532,shallow,PIEZO,direct_scalar_regression,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260533,shallow,PIEZO,direct_scalar_regression,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
eval_000,shallow_0231,train,20260531,shallow,PIEZO,unet_3d,1.7854338796675808,0.15,1.635433879667581,0.0,SIMULATED_BENCHMARK
