case_id,config_id,z_top_mm,z_bottom_mm,thickness_mm,radius_mm,contrast_x,log10_contrast_x,boundary_irregularity,heterogeneous_core,rim_stiffness,multifocality,layer_modulus_variation_x,log_layer_modulus_variation,contact_pressure_kpa,lateral_psf_mm,readout_noise_rel,calibration_shift_rel,depth_group
dr_0000,shallow_0000,0.15,2.252639669599077,2.102639669599077,3.5459840954614363,1.2721868445475606,0.10455090030359993,0.07233623764774687,0.24308260892016845,0,0,1.0720945603923757,0.06961426807964285,14.195253205398162,1.3798098481335077,0.02579111013217529,0.011135990815052833,shallow
dr_0001,shallow_0001,0.15,1.3374966743244006,1.1874966743244006,2.4921266286420103,2.00580755526835,0.30228926283480917,0.6165186958259292,0.34980615016516753,0,0,1.228613259199084,0.20588610180982336,10.881297144360298,1.761561327686659,0.0222981551142636,0.023423212446729555,shallow
dr_0002,shallow_0002,0.15,2.9078468239814845,2.7578468239814846,1.9561162355042265,6.450822207812813,0.809615072396318,0.31306439035214784,0.10399628486132313,1,0,1.2252459544107897,0.2031416029541108,9.566075767420763,0.9429748281345117,0.03051565488950561,0.016668324592450916,shallow
dr_0003,shallow_0003,0.15,1.1194914085953012,0.9694914085953011,2.6919410237022285,3.981530605343251,0.6000500584223402,0.4674575275756472,0.2162236047554221,0,0,1.0245170175750953,0.024221299173889866,11.416386766962415,1.6739253585690075,0.04308182050629748,0.051102298448097494,shallow
dr_0004,shallow_0004,0.15,2.788265992503285,2.638265992503285,2.9369087257331805,6.947771600398969,0.8418455331030981,0.14339337608526107,0.4765482826298762,0,0,1.1507411453848209,0.14040620903848475,9.662680816179998,1.7411545384918852,0.04071366451463781,0.08146272668124876,shallow
dr_0005,shallow_0005,0.15,1.8448537198996058,1.6948537198996059,1.5468121802483452,2.5963682874593963,0.4143662959353219,0.7118971202571619,0.5430398941298046,1,0,1.0286646471445486,0.028261502028432542,12.105073719348797,1.2147430457797936,0.022167533570576298,0.007827697251928327,shallow
dr_0006,shallow_0006,0.15,1.290023376124404,1.140023376124404,1.519948981725559,3.308373088307973,0.5196144794345974,0.07375236421176942,0.03847189202289322,0,0,1.418543608983138,0.3496307178207455,12.317016327533407,1.6671747415954994,0.03479245961176468,0.011350151976854496,shallow
dr_0007,shallow_0007,0.15,1.9090068824424442,1.7590068824424443,3.3549718452966193,10.542720473671283,1.0229526919252363,0.06616300163735582,0.20784441158878322,0,1,1.3052157275247924,0.26636833556083755,14.184207513975087,0.7506240372622851,0.02513389457438655,-0.034178855467882414,shallow
dr_0008,shallow_0008,0.15,1.9793263425068823,1.8293263425068824,2.3790433700779525,3.2832020033407363,0.5162976040931333,0.16653237476394117,0.25900835624461394,0,0,1.0754438966775632,0.07273350349059518,9.843605724646467,0.9728218222840272,0.01213874325422807,0.006883611607359309,shallow
dr_0009,shallow_0009,0.15,1.9812311646973306,1.8312311646973307,2.6086679588766626,6.00047076501369,0.778185324154886,0.018529358063414835,0.07570973215112323,0,0,0.9512683094470895,-0.049959122215299336,11.435513546026602,2.341116592825453,0.05983629116709832,0.05130982469667637,shallow
dr_0010,shallow_0010,0.15,1.1936288907831205,1.0436288907831206,3.573284611658227,1.663248155190015,0.22095705041585267,0.4504174280954923,0.015558945237079005,0,1,1.0335845450326353,0.03303290137310484,16.49615161373798,0.9581561780722714,0.039870872181134547,0.06294283165649302,shallow
dr_0011,shallow_0011,0.15,1.6919222484965615,1.5419222484965616,2.712916972681628,4.078070179554333,0.6104546952849202,0.6391850847000973,0.12139979689972508,0,1,1.272222590508337,0.24076544214652315,12.080693415791192,0.8831853888788399,0.02320476906621962,0.04083828193915883,shallow
dr_0012,shallow_0012,0.15,2.066180561014881,1.916180561014881,2.337448641550568,15.13237594916736,1.179907122378879,0.24957656245952975,0.20654653250952282,0,0,1.3116557660074522,0.2712902826260269,10.053012367612906,0.9232690606628721,0.042540375682122586,-0.01587201864499361,shallow
dr_0013,shallow_0013,0.15,2.7028051217918554,2.5528051217918555,3.1442528651455612,2.4614857186146226,0.3911973203668057,0.28155834742979613,0.39259068033274275,0,1,0.9296074826504303,-0.07299284359413387,3.224799240538463,1.6539063919244066,0.045169697095960214,-0.029603588399793653,shallow
dr_0014,shallow_0014,0.15,1.2071469341164116,1.0571469341164117,1.6646606152753907,2.477401516093983,0.3939963990333718,0.11933601334563261,0.20576657146835345,0,0,0.7851235405148477,-0.24191419713006806,9.905313424740992,1.104022311340462,0.010923881944834905,-0.038886367661761775,shallow
dr_0015,shallow_0015,0.15,1.317273809632198,1.1672738096321982,1.2519699181360369,1.245487721018561,0.09533945028266655,0.578936154537808,0.2543584821941494,0,1,0.8494378805287188,-0.16318046528937008,6.030910390578386,0.8813435909569789,0.061973200867129936,-0.04959731554939908,shallow
dr_0016,shallow_0016,0.15,1.8334520130974785,1.6834520130974786,2.645739535555792,2.798206116618341,0.4468797015829111,0.07432543091263172,0.4529584312843751,0,0,0.9797777970069682,-0.020429470774400466,8.27324975454261,0.9807554959540721,0.0273534768272221,-0.011917205477811723,shallow
dr_0017,shallow_0017,1.016238997247012,2.702527167550055,1.686288170303043,1.974597685434651,3.071836665544102,0.4873981198429581,0.011974652040552862,0.26394682987313006,1,0,0.8505395173770752,-0.16188440452536004,10.457674109301196,2.3536407019308774,0.038659512926520555,0.031585183218432136,shallow
dr_0018,shallow_0018,0.15,2.703775971629928,2.553775971629928,1.1627790207367328,2.2871372698026895,0.35929223095077867,0.23246569175861276,0.2050660103618972,0,0,1.1295265312272975,0.12179854600578077,11.145682365698224,1.1556039785166443,0.026956943155053446,0.04794315158919984,shallow
dr_0019,shallow_0019,0.15,2.5595511246002283,2.4095511246002284,1.0738532446240374,3.029827751268619,0.4814179391293907,0.16000254691689803,0.3912905471449496,0,0,1.0037465067595488,0.003739506083038834,8.215254867979228,1.503984092041907,0.02873592621338121,0.00476967503600921,shallow
dr_0020,shallow_0020,0.15,1.1040868915749888,0.9540868915749888,2.4518943228931174,3.6463043780512243,0.5618529188967378,0.23411958797655683,0.4004590579044714,1,0,0.9220295377288388,-0.08117801935644897,4.282082168049218,1.0149945591011587,0.03635584978579337,0.05423524844326265,shallow
dr_0021,shallow_0021,1.7068976228297512,2.834701559752992,1.1278039369232407,1.7064818918993652,6.526120981178933,0.8146551204741386,0.08890591207438582,0.07122270886081074,0,1,0.8469508402559285,-0.1661126258539771,9.592357319583202,1.6086008362593116,0.00993146042931876,-0.0057918151683283015,shallow
dr_0022,shallow_0022,0.8622252768484722,2.691572234826407,1.829346957977935,1.4209205850962694,2.8892819258164866,0.46078992081707343,0.2019590899396845,0.21117846865788756,0,0,1.1656864531453022,0.15331014365737194,5.958800223161343,2.1627072317766247,0.02983148227604251,-0.06351823158865033,shallow
dr_0023,shallow_0023,0.15,1.5305159637680101,1.3805159637680102,1.6080277744585918,2.1827632582376735,0.3390066348312245,0.046436553198670245,0.14747810895072094,1,0,0.8855156871010821,-0.1215851063869946,12.871528373808033,1.5056100080687524,0.023494954107617427,-0.059509121783081646,shallow
dr_0024,shallow_0024,0.15,2.7891928211977772,2.6391928211977773,1.7675258088562646,1.7252044867793341,0.23684057895511768,0.10088871934325123,0.46057883432119034,0,0,1.1564205989614769,0.14532954400856168,8.473888567761575,1.5983157214558097,0.04711293259762195,-0.04976703585379962,shallow
dr_0025,shallow_0025,0.15,2.048637337684367,1.898637337684367,2.6147570404237914,3.779338435020512,0.5774157841850052,0.3905197041598299,0.06175246355452593,1,0,1.0748502849775194,0.07218138209233459,10.242974995189833,0.9061339879135226,0.027061747820662084,0.07751078553035787,shallow
dr_0026,shallow_0026,0.15,2.7678366998344934,2.6178366998344935,0.9718794667477703,7.684684611192508,0.8856260482275076,0.24206935835232235,0.2889853593614916,1,0,1.1589614802048134,0.147524328434137,5.494776370647061,1.0919981000390067,0.0390490784030936,0.018114095772968738,shallow
dr_0027,shallow_0027,2.0014188770542103,2.772318698903711,0.7708998218495009,1.7222270457452327,3.529791287348092,0.5477490267949678,0.3690526286764443,0.2598149734383742,0,0,1.140923071193617,0.13183764634018674,10.061780627346986,1.7838010299827052,0.031438194535735715,-0.0050613458213147715,shallow
dr_0028,shallow_0028,0.15,1.5603902957972318,1.4103902957972319,3.5941727636295413,4.95118054664507,0.6947087633304803,0.1640735537635984,0.0988099892278087,1,0,0.6709006928783412,-0.3991341516543389,18.445409693200062,1.642174792388585,0.04890989209127956,0.02072071821448994,shallow
dr_0029,shallow_0029,0.15,2.9020158981652857,2.752015898165286,2.053279482183967,1.8199390200684535,0.2600568365062539,0.24852534026275863,0.07583242503555937,0,1,0.9985610800540848,-0.0014399561853835681,15.358062676297651,1.5262941393685532,0.03908117770381843,-0.010720291684270328,shallow
